doc_name,cat_ratings,specialty
Dr. Michael C. Gartner,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Daniel Shasha,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Oncologist / Hematologist
Dr. Elliott B. Hershman,"Staff,1Punctuality,3Helpfulness,5Knowledge,Staff,4Punctuality,5Helpfulness,5Knowledge,Staff,1Punctuality,1Helpfulness,3Knowledge",Orthopedic Surgeon
Dr. Amiya Prasad,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,2Punctuality,2Helpfulness,2Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Ash Tewari,"1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Urologist
Dr. Garrett H. Bennett,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Rahul Patel,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Podiatrist
Dr. Gregory S. Latrenta,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,2Helpfulness,1Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Gregory S. Latrenta,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,2Helpfulness,1Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Ranga Chelva Krishna,"5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Neurologist
Dr. Rahul Patel,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Podiatrist
Dr. Ranga Chelva Krishna,"5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Neurologist
Dr. Gregory S. Latrenta,"5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,4Punctuality,4Helpfulness,4Knowledge,3Staff,5Punctuality,2Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,2Punctuality,1Helpfulness,1Knowledge,2Staff,1Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
